year,assets,investments,shareholders,policyholders,assets held to cover linked liabilities,loans,secured loans,unsecured loans,fixed assets,current assets,cash & bank balances,advances & other assets,other current assets,liabilities,shareholders funds,share capital,reserves,fair value change account,borrowings,policyholders funds,credit/debit fair value change account,policy liabilities,insurance reserves,provision for linked liabilities & discontinued policyholders liabilities,funds for future appropriation,current liabilities,operating profit from premiums,fire,marine,misc,life,income from investments,"interest, dvidend & rent",net profit on sale of investments,profit on sale of investments,loss on sale of investments,other income,sundry receipts,profit on sale of fixed assets,provisions,doubtful debts,reduction in value of investment,other provisions,bad debts written off,profit before tax_x,tax,profit after tax,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),profitability ratios,roe(%),eps(rs),debt to equity,free cash flow per share(rs),valuation ratios,price to book,price/free cash flow,price to earnings,dividend yield (%)
2014,58996.5403,56274.6178,2353.4637,25323.8785,28597.2756,0.0,,,282.4145,4289.1858,2542.2912,257.5899,1489.3047,58996.5403,3342.3317,1000.0,2306.1274,36.2043,,27056.9329,261.8926,26795.0403,,28589.8494,7.4263,1472.7124,839.6207,,,,839.6207,202.1809,183.7244,23.1369,20.7967,-2.3402,7.3552,7.3552,,-306.0406,,-1.0437,307.0843,,740.1343,,740.1343,,13.5110614384443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.7159801810468,7.401343,0.0,6.885941,0.0,0.0,0.0,0.0,0.0
2015,72210.6587,69384.7765,3070.2378,31504.467,34810.0717,0.0,,,264.6807,4786.6516,2523.7784,374.3804,1888.4928,72210.6587,4039.4085,1000.0,2974.0598,65.3487,,33361.1784,500.8211,32860.3573,,34808.6092,1.4626,1675.5915,704.4228,,,,704.4228,276.1138,231.6154,35.7564,34.3447,-1.4117,7.4611,7.4611,,-151.9255,,-1.0527,152.9782,,834.4739,14.4318,820.0421,,14.6333950415473,2714.8192,,3314.4453,3314.4453,,-599.6261,-181.5747,-24.7128,-24.8718,0.159,-50002.256,46708.9803,2817.2422,,,-116.995,,0.0,,,,-100.0,2416.2495,2961.5797,,5377.8292,24.7128,2690.1064,0.0,22.5280498281693,8.200421,0.0,7.951703,0.0,0.0,0.0,0.0,0.0
2016,80724.5584,77842.6851,3564.9022,38255.8965,36021.8864,0.0,,,301.0228,5547.9875,2616.7626,558.9361,2372.2888,80724.5584,4733.1009,1000.0,3690.6647,42.4362,,39969.5711,335.4011,39634.17,,36021.6558,0.2306,2502.5877,665.5824,,,,665.5824,317.7857,275.6858,45.3348,36.8705,-8.4643,7.9305,7.9305,,-0.4125,,0.4125,,,873.7807,12.7466,861.0341,,17.4209128302816,5777.9358,,7352.0186,7352.0186,,-1574.0828,-7203.7274,-177.9322,-181.2754,3.3432,-68716.8431,57811.3084,3741.2914,,,-143.9929,,0.0,,,,-120.0,-1569.7845,5377.8292,,3808.0447,177.9322,5600.0036,0.0,19.8744714849272,8.6103,0.0,6.797587,0.0,0.0,0.0,0.0,0.0
2017,99225.2464,95830.2832,4295.5047,46961.746,44573.0325,0.0,,,507.4262,6423.9943,2429.8416,762.6625,3231.4902,99225.2464,5552.079,1000.0,4464.781,87.298,,49100.1349,776.3774,48323.7575,,44573.0325,,2764.0721,654.594,,,,654.594,401.5231,314.3619,87.4009,84.36,-3.0409,8.2143,8.2143,,0.4126,,-0.4126,,,974.5693,19.9164,954.6529,100.0,15.7125170834342,8525.1158,,9449.5146,9449.5146,,-924.3988,-9031.2407,-148.1805,-148.4672,0.2867,-74928.7537,61274.5597,4573.8772,,,-144.4292,,0.0,,,,-120.0,-650.5541,3808.0447,-0.5245,3156.9661,148.1805,8376.9353,0.0,18.8008075312736,9.5465,0.0,8.061857,0.0,0.0,0.0,0.0,0.0
2018,118155.7637,114435.8693,5014.3472,54485.6678,54935.8543,0.0,,,511.1815,7476.4455,2644.6284,986.0051,3845.812,118155.7637,6527.8179,1000.0,5374.458,153.3599,,56498.6125,942.7135,55555.899,,54935.8541,193.4792,3216.1323,829.4017,,,,829.4017,452.0649,348.4095,119.8884,111.1632,-8.7252,11.4653,11.4653,,-0.7392,,0.7392,,,1184.4583,34.0661,1150.3922,100.0,17.3853751790042,10394.9696,,11383.6713,11383.6713,,-988.7017,-8909.8107,-106.7391,-107.4352,0.6961,-80313.6162,65517.5731,5676.1905,,,-221.2518,,0.0,,,,-150.0,1263.9071,3140.5348,0.1463,4404.5882,106.7391,10288.2305,0.0,19.4335497408237,11.503922,0.0,10.42957,0.0,10.5648197854625,64.5712143453661,58.5409045715018,0.296978246343455
2019,142997.8345,139324.709,5723.2396,64472.3891,69129.0803,0.0,,,563.3721,7899.9367,2420.6309,1302.9611,4176.3447,142997.8345,7576.3556,1000.0,6460.1438,116.2118,,66010.7779,1056.3863,64954.3916,,69129.0804,281.6206,3377.1298,998.4974,,,,998.4974,505.659,415.4629,102.7895,96.4928,-6.2967,13.5414,13.5414,,-15.9262,,15.9262,,,1372.8647,46.0683,1326.7964,100.0,15.0739028233721,13472.862,,14871.2995,14871.2995,,-1398.4375,-13552.8637,-141.2088,-142.3879,1.1791,-97370.4149,77034.2468,6587.7235,,,-241.0618,,0.0,,,,-199.9512,-321.0635,4404.5882,0.4585,4083.9832,141.2088,13331.6532,0.0,19.180839740541,13.267964,0.0,11.844085,0.0,7.76861700708772,48.9315975020443,43.6804019064266,0.345095332585627
2020,162557.8888,158813.2105,6827.9462,73419.9373,78565.327,0.0,,,567.9943,7391.3414,1423.2265,1622.659,4345.4559,162557.8888,8742.9712,1000.0263,7883.7795,-140.8346,,74535.8117,-1587.1946,76123.0063,,78565.3272,713.6661,2783.6589,1462.6523,,,,1462.6523,476.699,466.5594,327.3628,168.7512,-158.6116,6.7929,6.7929,,-8.0175,,8.0175,,,1413.5495,-8.6336,1422.1831,100.0026295,0.0,19298.5882,,20891.4296,20891.4296,,-1592.8414,-16986.8968,-80.8201,-80.9928,0.1727,-129600.792,104548.2198,7872.1755,,,-198.4803,1.4789,0.0,,,,-199.9592,2113.2111,4083.9832,0.5128,6197.7071,80.8201,19217.7681,0.0,17.4031753010301,14.2214569756815,0.0,13.4115502762277,0.0,7.21500302252217,47.7908956681986,45.069221887463,0.0
2021,222592.0678,218756.1652,8604.709,93936.4377,116215.0185,0.0,,,563.9432,8949.1822,2710.5185,1856.3159,4382.3478,222592.0678,10400.013,1000.0709,9092.2184,307.7237,,95134.2885,2726.8135,92407.475,,116215.0185,842.3244,3805.0146,1678.7622,,,,1678.7622,688.4845,521.1067,286.0688,226.7233,-59.3455,6.3067,6.3067,,24.6829,,-24.6829,,,1542.4577,86.6083,1455.8494,100.0070908,17.1733233533633,23877.6443,,25555.9188,25555.9188,,-1678.2745,-19202.7067,-104.387,-104.5207,0.1337,-148775.8527,118856.1846,10232.34,,,2.6493,2.6493,0.0,,,,,4677.5869,6197.707,-0.5932,10874.7007,104.387,23773.2573,0.0,15.344035665167,14.557461875953,0.0,13.5123289758756,0.0,8.7251009287853,65.1627118886767,60.4844448505457,0.283929585462805
2022,268207.1989,264831.7903,10075.8226,112130.6618,142625.3059,0.0,,,523.9641,9410.1656,3204.2193,1869.5785,4336.3678,268207.1989,11621.1132,1000.3706,10416.8754,203.8672,,112965.9383,3206.8986,109759.0397,,142625.3059,993.6423,4558.5451,1732.4326,,,,1732.4326,983.0502,589.8864,423.7162,408.44,-15.2762,5.3582,5.3582,,-20.958,,20.958,,,1560.7575,54.7598,1505.9977,100.0370562,13.2851544195585,21851.9351,,23836.2963,23836.2963,,-1984.3612,-21611.0104,-55.7271,-55.7872,0.0601,-163786.1316,130433.1022,11058.0263,,,-231.0096,18.9965,0.0,,,,-250.0061,9.9151,10874.7007,,10884.6158,55.7271,21796.208,0.0,14.0030705358846,15.0543978401604,0.0,14.4967325109315,0.0,9.81510905624702,77.2725853329568,74.4101499039474,0.178539546509552
2023,309586.5568,304334.479,11208.7007,129870.2378,163255.5405,0.0,,,520.446,11464.0286,4164.9219,2114.3464,5184.7603,309586.5568,13015.7856,1000.8948,11921.9612,92.9296,,132170.7947,2038.894,130131.9007,,163255.5406,1142.7394,4731.499,2707.1495,,,,2707.1495,794.5016,690.7237,109.9975,106.8877,-3.1098,0.7494,0.7494,,0.7626,,-0.7626,,,1758.447,37.8746,1720.5724,100.0894759,14.5430497432134,28656.0462,,30845.9981,30845.9981,,-2189.9519,-30203.0006,-62.6238,-63.2015,0.5777,-241822.05,198660.9337,12057.3093,,,-415.095,35.1491,0.0,,,,-450.2441,-1962.0494,10884.6158,,8922.5664,62.6238,28593.4224,0.0,14.1377583380711,17.1903420819051,0.0,16.5588921033459,0.0,8.51695605692736,66.4084283620522,63.9690586004983,0.227345064338653
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29121.85,81130.51,-52008.66,29121.85,,0.0,-31221.33,-114.2,-114.39,0.19,-269705.49,222399.66,13573.31,1369.41,,-227.32,,0.0,,,,-270.37,-2326.8,8922.57,,6595.77,114.2,29007.65,,,,,,,,,,
